Section_ID,GPS_NO,NodeId,X,Y
701014120922002,12130922065,12140922137,727140.1,3763857.3
701014120922002,12130922066,12140922138,727140.2,3763857.5
701014120922002,12130922067,12140922139,727235,3763853
701014120922002,12130922068,12140922140,727133,3763844
701014120922002,12130922068,12140922141,727164,3763827
701014120922002,12130922069,12140922142,727190,3763817
701014120922002,12130922069,12140922143,727217,3763802
701014120922002,12130922070,12140922144,727125,3763826
701014120922002,12120922047,12140922145,727125.1,3763826.3
701014120922002,12130922071,12140922146,727125.2,3763826.4
701014120922002,12130922071,12140922147,727111,3763790
701014120922002,12130922072,12140922148,727097,3763766
701014120922002,12130922072,12140922149,727143,3763746
701014120922002,12130922073,12140922150,727159,3763740
701014120922002,12130922071,12140922151,726867,3763876
701014120922002,12130922074,12140922152,726890,3763862
701014120922002,12130922074,12140922153,726936,3763849
701014120922002,12130922075,12140922154,726975,3763821
701014120922002,12130922071,12140922155,726975.1,3763821.3
701014120922002,12130922079,12140922156,726975.2,3763821.4
701014120922002,12130922079,12140922157,726972,3763840
701014120922002,12130922080,12140922158,726983,3763870
701014120922002,12130922080,12140922159,726958,3763887
701014120922002,12130922081,12140922160,726935,3763893
701014120922002,12130922079,12140922161,726993,3763884
701014120922002,12130922086,12140922162,727004,3763920
701014120922002,12130922086,12140922163,726962,3763798
701014120922002,12130922087,12140922164,726959,3763778
701014120922002,12130922087,12140922165,726942,3763746
701014120922002,12130922088,12140922166,726942.1,3763746.3
701014120922002,12130922086,12140922167,726942.2,3763746.4
701014120922002,12130922089,12140922168,726906,3763767
701014120922002,12130922090,12140922169,726864,3763786
701014120922002,12130922090,12140922170,726829,3763805
701014120922002,12130922091,12140922171,726925,3763701
701014120922002,12130922092,12140922172,726907,3763662
701014120922002,12130922092,12140922173,726902,3763660
701014120922002,12130922093,12140922174,726903,3763661
701014120922002,12130922093,12140922175,726862,3763685
701014120922002,12130922094,12140922176,726826,3763706
701014120922002,12130922090,12140922177,726797,3763731
701014120922002,12130922097,12140922178,726886,3763727
701014120922002,12130922097,12140922179,726916,3763659
701014120922002,12130922098,12140922180,726916,3763662
701014120922002,12130922099,12140922181,726917,3763662
701014120922002,12130922099,12140922182,726960,3763640
701014120922002,12130922100,12140922183,726962,3763641
701014120922002,12130922100,12140922184,726960,3763641
701014120922002,12130922101,12150922185,726881,3763615
701014120922002,12130922099,12150922186,726881,3763614
701014120922002,12130922106,12150922187,726880,3763612
701014120922002,12130922106,12150922188,726842,3763631
701014120922002,12130922107,12150922189,726810,3763651
701014120922002,12130922107,12150922190,726769,3763681
701014120922002,12130922108,12150922191,726723,3763715
701014120922002,12130922090,12150922192,726869,3763582
701014120922002,12130922114,12150922193,726869,3763581
701014120922002,12130922114,12150922194,726867,3763579
701014120922002,12130922115,12150922195,726859,3763564
701014120922002,12130922115,12150922196,726901,3763546
701014120922002,12130922116,12150922197,726941,3763527
701014120922002,12120922047,12150922198,726837,3763515
701014120922002,12140922117,12150922199,726837.1,3763515.3
701014120922002,12140922117,12150922200,726837.2,3763515.4
701014120922002,12140922118,12150922201,726820,3763583
701014120922002,12140922118,12150922202,726782,3763604
701014120922002,12140922119,12150922203,726739,3763631
701014120922002,12140922119,12150922204,726879,3763501
701014120922002,12140922120,12150922205,726921,3763483
701014120922002,12140922118,12150922206,726965,3763461
701014120922002,12140922121,12150922207,726796,3763537
701014120922002,12140922121,12150922208,726748,3763559
701014120922002,12140922122,12150922209,726702,3763602
701014120922002,12140922122,12150922210,726679,3763621
701014120922002,12140922123,12150922211,726663,3763640
701014120922002,12140922123,12150922212,726710,3763663
701014120922002,12140922124,12150922213,726710.1,3763663.3
701014120922002,12140922122,12150922214,726710.2,3763663.5
701014120922002,12140922125,12150922215,726817,3763469
701014120922002,12140922125,12150922216,726815,3763464
701014120922002,12140922126,12150922217,726814,3763464
701014120922002,12140922122,12150922218,726858,3763449
701014120922002,12140922127,12150922219,726899,3763441
701014120922002,12140922127,12150922220,726941,3763415
701014120922002,12140922128,12150922221,726792,3763415
701014120922002,12140922129,12150922222,726789,3763414
701014120922002,12140922130,12150922223,726789,3763413
701014120922002,12140922131,12150922224,726831,3763398
701014120922002,12140922131,121509222241,726832,3763398
701014120922002,12140922132,12150922225,726873,3763383
701014120922002,12140922132,12150922226,726913,3763361
701014120922002,12140922133,12150922227,726755,3763436
701014120922002,12140922131,12150922228,726752,3763437
701014120922002,12140922134,12150922229,726754,3763436
701014120922002,12140922134,12150922230,726704,3763461
701014120922002,12140922135,12150922231,726668,3763484
701014120922002,12140922136,12150922233,726767,3763377
701014120922002,12140922136,12150922234,726765,3763361
701014120922002,12140922137,12150922235,726727,3763377
701014120922002,12140922137,12150922236,726727.1,3763377.5
701014120922002,12140922138,12150922237,726727.4,3763377.8
701014120922002,12140922136,12150922238,726682,3763397
701014120922002,12140922140,12150922239,726811,3763338
701014120922002,12140922140,12150922240,726631,3763427
701014120922002,12140922144,12150922241,726630,3763427
701014120922002,12140922144,12150922242,726629,3763428
701014120922002,12140922145,12150922243,726597,3763437
701014120922002,12140922145,12150922244,726566,3763453
701014120922002,12140922146,12150922245,726534,3763467
701014120922002,12120922047,12150922246,726514,3763450
701014120922002,12140922151,12160922247,726862,3763313
701014120922002,12140922151,12160922248,726861,3763314
701014120922002,12140922152,12160922249,726860,3763314
701014120922002,12140922153,12160922250,726798,3763313
701014120922002,12140922154,12160922251,726840,3763265
701014120922002,12140922154,12160922252,726828,3763238
701014120922002,12140922155,12160922253,726879,3763307
701014120922002,12140922155,12160922254,726907,3763294
701014120922002,12140922156,12160922255,726941,3763279
701014120922002,12140922154,12160922256,726941.1,3763279.3
701014120922002,12140922163,12160922257,726941.2,3763279.4
701014120922002,12140922163,12160922258,726994,3763250
701014120922002,12140922164,12160922259,726973,3763206
701014120922002,12140922164,12160922260,726930,3763223
701014120922002,12140922165,12160922261,727035,3763233
701014120922002,12140922165,12160922262,727035.1,3763233.3
701014120922002,12140922166,12160922263,727035.2,3763233.4
701014120922002,12140922166,12160922264,727074,3763215
701014120922002,12140922167,12160922265,727075,3763215
701014120922002,12140922165,12160922266,727073,3763216
701014120922002,12140922171,12160922267,727123,3763192
701014120922002,12140922171,12160922268,727089,3763240
701014120922002,12140922172,12160922269,727058,3763176
701014120922002,12140922172,12160922270,727058.1,3763176.3
701014120922002,12140922173,12160922271,727058.2,3763176.4
701014120922002,12140922173,12160922272,727089,3763158
701014120922002,12140922174,12160922273,727041,3763143
701014120922002,12140922172,12160922274,727041,3763140
701014120922002,12140922179,12160922275,727041,3763142
701014120922002,12140922179,12160922276,727008,3763158
701014120922002,12140922180,12160922277,726991,3763128
701014120922002,12140922180,12160922278,727024,3763103
701014120922002,12140922181,12160922279,726968,3763337
701014120922002,12140922179,12160922281,727022,3763313
701014120922002,12140922182,12160922282,727037,3763349
701014120922002,12140922182,12160922283,727037.1,3763349.3
701014120922002,12140922183,12160922284,727037.2,3763349.4
701014120922002,12140922183,12160922285,727058,3763392
701014120922002,12140922184,12160922286,727079,3763434
701014120922002,12140922172,12160922287,727056,3763292
701014120922002,12150922185,12160922288,727074,3763287
701014120922002,12150922185,12160922289,727086,3763284
701014120922002,12150922186,12160922290,727088,3763285
701014120922002,12150922186,12160922291,727089,3763285
701014120922002,12150922187,12160922292,727090,3763285
701014120922002,12150922185,12160922293,727091,3763285
701014120922002,12150922192,12160922294,727102,3763282
701014120922002,12150922192,12160922295,727111,3763296
701014120922002,12150922193,12160922296,727129,3763335
701014120922002,12150922193,12160922297,727156,3763317
701014120922002,12150922194,12160922298,727095,3763262
701014120922002,12150922192,12160922299,727106,3763255
701014120922002,12150922195,12160922300,727135,3763240
701014120922002,12150922195,12160922301,727086,3763315
701014120922002,12150922198,12160922302,727087,3763317
701014120922002,12150922198,12160922303,727087,3763315
701014120922002,12150922199,12160922304,727103,3763352
701014120922002,12150922199,12160922305,727115,3763384
701014120922002,12150922200,12160922306,727142,3763372
701014120922002,12130922090,12160922307,727138,3763422
701014120922002,12150922212,12160922308,727154,3763409
701014120922002,12150922213,12160922309,727153,3763443
701014120922002,12150922213,12160922310,727156,3763438
701014120922002,12150922214,12160922311,727157,3763437
701014120922002,12150922198,12160922312,726988,3763379
701014120922002,12150922215,12160922313,726989,3763380
701014120922002,12150922215,12160922314,726990,3763380
701014120922002,12150922216,12160922315,727007,3763426
701014120922002,12150922216,12160922316,727026,3763468
701014120922002,12150922217,12160922317,727026.1,3763468.3
701014120922002,12150922215,12160922318,727026.2,3763468.4
701014120922002,12150922221,12160922319,726975,3763474
701014120922002,12150922221,12160922320,726984,3763497
701014120922002,12150922222,12160922321,726985,3763498
701014120922002,12150922222,12160922322,726986,3763499
701014120922002,12150922223,12160922323,727007,3763544
701014120922002,12150922221,12160922324,727017,3763563
701014120922002,12150922227,12160922325,727028,3763595
701014120922002,12150922227,12160922326,727046,3763504
701014120922002,12150922228,12160922327,727065,3763538
701014120922002,12150922228,12160922328,727082,3763577
701014120922002,12150922229,12160922329,727102,3763613
701014120922002,12150922221,12160922331,727102,3763617
701014120922002,12150922233,12160922332,727068,3763642
701014120922002,12150922233,12160922333,727084,3763670
701014120922002,12150922234,12160922334,727122,3763669
701014120922002,12150922234,12160922335,727141,3763697
701014120922002,12150922235,12160922336,727012,3763813
701014120922002,12150922235,12160922337,727012,3763813
701014120922002,12150922236,12160922338,727010,3763813
701014120922002,12150922236,12160922339,727044,3763796
701014120922002,12150922237,12160922340,727104,3763774
701014120922002,12150922235,12160922341,727149,3763751
701014120922002,12150922238,12160922342,727156,3763733
701014120922002,12150922234,12160922343,727157,3763732
701014120922002,12150922239,12160922344,727156,3763732
701014120922002,12150922238,12160922345,727185,3763726
701014120922002,12150922240,12160922346,727210,3763709
701014120922002,12150922240,12160922347,727203,3763686
701014120922002,12150922241,12160922348,727191,3763665
701014120922002,12150922241,12160922349,727189,3763656
701014120922002,12150922242,12160922352,727168,3763621
701014120922002,12150922239,12160922353,727149,3763579
701014120922002,12160922247,12160922354,727139,3763557
701014120922002,12160922247,12160922355,727114,3763571
701014120922002,12160922248,12160922356,727128,3763536
701014120922002,12160922248,12160922357,727105,3763551
701014120922002,12160922249,12160922358,727115,3763511
701014120922002,12150922239,12160922359,727076,3763496
701014120922002,12160922250,12160922360,727106,3763481
701014120922002,12160922247,12160922361,727106.1,3763481.3
701014120922002,12160922254,12160922362,727106.2,3763481.4
701014120922002,12160922254,12160922363,727130,3763472
701014120922002,12160922255,12160922364,727142,3763499
701014120922002,12160922255,12160922365,727183,3763446
701014120922002,12160922256,12160922366,727158,3763487
701014120922002,12160922256,12160922367,727162,3763509
701014120922002,12160922257,12160922368,727168,3763536
701014120922002,12160922255,12160922369,727177,3763560
701014120922002,12160922258,12160922370,727176,3763579
701014120922002,12160922258,12160922371,727181,3763600
701014120922002,12160922261,14120922002,724656,3763496
701014120922002,12160922261,14120922003,724690,3763551
701014120922002,12160922262,14120922004,724710,3763557
701014120922002,12160922262,14120922005,724752,3763556
701014120922002,12160922263,14120922006,724755,3763606
701014120922002,12160922261,14120922007,724759,3763672
701014120922002,12160922264,14120922008,724763,3763725
701014120922002,12160922264,14120922009,724766,3763771
701014120922002,12160922265,14120922010,724754,3763856
701014120922002,12160922265,14120922011,724746,3764010
701014120922002,12160922266,14120922012,724740,3764043
701014120922002,12160922264,14120922013,724737,3764071
701014120922002,12160922267,14120922014,724742,3764121
701014120922002,12160922264,14120922015,724744,3764163
701014120922002,12160922269,14120922017,724747,3764216
701014120922002,12160922269,14120922019,724750,3764259
701014120922002,12160922270,14120922020,724752,3764294
701014120922002,12160922270,14120922022,724761,3764431
701014120922002,12160922271,14120922023,724805,3764444
701014120922002,12160922269,14120922024,724846,3764471
701014120922002,12160922273,14120922026,724902,3764485
701014120922002,12160922273,14120922027,724908,3764518
701014120922002,12160922274,14120922028,724955,3764504
701014120922002,12160922274,14120922030,725007,3764501
701014120922002,12160922275,14120922032,725140,3764496
701014120922002,12160922255,14120922034,725219,3764492
701014120922002,12160922279,14120922035,725299,3764493
701014120922002,12160922279,14120922036,725300,3764494
701014120922002,12150922226,14120922037,725299,3764494
701014120922002,12150922225,Hayatabad-2,724645,3763465
701014120922002,12150922224,,,
701014120922002,12160922279,,,
701014120922002,12160922281,,,
701014120922002,12160922281,,,
701014120922002,12160922282,,,
701014120922002,12160922282,,,
701014120922002,12160922283,,,
701014120922002,12160922283,,,
701014120922002,12160922284,,,
701014120922002,12160922281,,,
701014120922002,12160922287,,,
701014120922002,12160922288,,,
701014120922002,12160922288,,,
701014120922002,12160922289,,,
701014120922002,12160922289,,,
701014120922002,12160922290,,,
701014120922002,12160922290,,,
701014120922002,12160922291,,,
701014120922002,12160922289,,,
701014120922002,12160922292,,,
701014120922002,12160922292,,,
701014120922002,12160922293,,,
701014120922002,12160922288,,,
701014120922002,12160922301,,,
701014120922002,12160922301,,,
701014120922002,12160922302,,,
701014120922002,12160922302,,,
701014120922002,12160922303,,,
701014120922002,12160922279,,,
701014120922002,12160922312,,,
701014120922002,12160922312,,,
701014120922002,12160922313,,,
701014120922002,12160922313,,,
701014120922002,12160922314,,,
701014120922002,12160922312,,,
701014120922002,12160922315,,,
701014120922002,12160922315,,,
701014120922002,12160922316,,,
701014120922002,12160922316,,,
701014120922002,12160922317,,,
701014120922002,12160922317,,,
701014120922002,12160922318,,,
701014120922002,12160922316,,,
701014120922002,12160922319,,,
701014120922002,12160922319,,,
701014120922002,12160922320,,,
701014120922002,12160922320,,,
701014120922002,12160922321,,,
701014120922002,12160922321,,,
701014120922002,12160922322,,,
701014120922002,12160922316,,,
701014120922002,12160922326,,,
701014120922002,12160922326,,,
701014120922002,12160922327,,,
701014120922002,12160922328,,,
701014120922002,12160922329,,,
701014120922002,12160922329,,,
701014120922002,12160922334,,,
701014120922002,12160922335,,,
701014120922002,12140922154,,,
701014120922002,12160922336,,,
701014120922002,12160922336,,,
701014120922002,12160922337,,,
701014120922002,12160922337,,,
701014120922002,12160922338,,,
701014120922002,12160922336,,,
701014120922002,12160922339,,,
701014120922002,12160922339,,,
701014120922002,12160922340,,,
701014120922002,12160922341,,,
701014120922002,12160922342,,,
701014120922002,12160922342,,,
701014120922002,12160922343,,,
701014120922002,12160922343,,,
701014120922002,12160922344,,,
701014120922002,12160922326,,,
701014120922002,12160922359,,,
701014120922002,12160922360,,,
701014120922002,12160922360,,,
701014120922002,12160922361,,,
701014120922002,12160922361,,,
701014120922002,12160922362,,,
701014120922002,12160922360,,,
701014120922002,12160922363,,,
701014120922002,12160922363,,,
701014120922002,12160922309,,,
701014120922002,12160922309,,,
701014120922002,12160922310,,,
701014120922002,12160922310,,,
701014120922002,12160922311,,,
701014120922002,12130922073,,,
701014120922002,12130922073,,,
701014120922002,12130922073,,,
701014120922002,12130922076,,,
701014120922002,12130922076,,,
701014120922002,12130922077,,,
701014120922002,12130922077,,,
701014120922002,12130922078,,,
701014120922002,12130922081,,,
701014120922002,12130922081,,,
701014120922002,12130922081,,,
701014120922002,12130922082,,,
701014120922002,12130922081,,,
701014120922002,12130922083,,,
701014120922002,12130922083,,,
701014120922002,12130922084,,,
701014120922002,12130922084,,,
701014120922002,12130922085,,,
701014120922002,12130922094,,,
701014120922002,12130922094,,,
701014120922002,12130922094,,,
701014120922002,12130922091,,,
701014120922002,12130922091,,,
701014120922002,12130922090,,,
701014120922002,12130922094,,,
701014120922002,12130922095,,,
701014120922002,12130922095,,,
701014120922002,12130922096,,,
701014120922002,12130922101,,,
701014120922002,12130922101,,,
701014120922002,12130922101,,,
701014120922002,12130922102,,,
701014120922002,12130922102,,,
701014120922002,12130922103,,,
701014120922002,12130922103,,,
701014120922002,12130922104,,,
701014120922002,12130922104,,,
701014120922002,12130922105,,,
701014120922002,12130922108,,,
701014120922002,12130922108,,,
701014120922002,12130922108,,,
701014120922002,12130922109,,,
701014120922002,12130922109,,,
701014120922002,12130922101,,,
701014120922002,12130922109,,,
701014120922002,12130922110,,,
701014120922002,12130922110,,,
701014120922002,12130922111,,,
701014120922002,12130922108,,,
701014120922002,12130922112,,,
701014120922002,12130922112,,,
701014120922002,12130922113,,,
701014120922002,12140922138,,,
701014120922002,12140922138,,,
701014120922002,12140922138,,,
701014120922002,12140922134,,,
701014120922002,12140922134,,,
701014120922002,12140922135,,,
701014120922002,12140922135,,,
701014120922002,12140922139,,,
701014120922002,12140922138,,,
701014120922002,12140922140,,,
701014120922002,12140922140,,,
701014120922002,12140922141,,,
701014120922002,12140922141,,,
701014120922002,12140922142,,,
701014120922002,12140922142,,,
701014120922002,12140922143,,,
701014120922002,12140922140,,,
701014120922002,12140922144,,,
701014120922002,12140922146,,,
701014120922002,12140922146,,,
701014120922002,12140922146,,,
701014120922002,12140922147,,,
701014120922002,12140922147,,,
701014120922002,12140922148,,,
701014120922002,12140922148,,,
701014120922002,12140922149,,,
701014120922002,12140922149,,,
701014120922002,12140922150,,,
701014120922002,12140922156,,,
701014120922002,12140922156,,,
701014120922002,12140922156,,,
701014120922002,12140922153,,,
701014120922002,12140922153,,,
701014120922002,12140922152,,,
701014120922002,12140922152,,,
701014120922002,12140922151,,,
701014120922002,12140922156,,,
701014120922002,12140922157,,,
701014120922002,12140922157,,,
701014120922002,12140922158,,,
701014120922002,12140922158,,,
701014120922002,12140922159,,,
701014120922002,12140922159,,,
701014120922002,12140922160,,,
701014120922002,12140922158,,,
701014120922002,12140922161,,,
701014120922002,12140922161,,,
701014120922002,12140922162,,,
701014120922002,12140922156,,,
701014120922002,12140922163,,,
701014120922002,12140922163,,,
701014120922002,12140922164,,,
701014120922002,12140922167,,,
701014120922002,12140922167,,,
701014120922002,12140922167,,,
701014120922002,12140922164,,,
701014120922002,12140922167,,,
701014120922002,12140922168,,,
701014120922002,12140922168,,,
701014120922002,12140922169,,,
701014120922002,12140922169,,,
701014120922002,12140922170,,,
701014120922002,12140922167,,,
701014120922002,12140922171,,,
701014120922002,12140922171,,,
701014120922002,12140922172,,,
701014120922002,12140922174,,,
701014120922002,12140922174,,,
701014120922002,12140922174,,,
701014120922002,12140922175,,,
701014120922002,12140922175,,,
701014120922002,12140922176,,,
701014120922002,12140922176,,,
701014120922002,12140922177,,,
701014120922002,12140922175,,,
701014120922002,12140922178,,,
701014120922002,12150922187,,,
701014120922002,12150922187,,,
701014120922002,12150922187,,,
701014120922002,12150922188,,,
701014120922002,12150922188,,,
701014120922002,12150922189,,,
701014120922002,12150922189,,,
701014120922002,12150922190,,,
701014120922002,12150922190,,,
701014120922002,12150922191,,,
701014120922002,12150922187,,,
701014120922002,12150922192,,,
701014120922002,12150922192,,,
701014120922002,12150922195,,,
701014120922002,12150922195,,,
701014120922002,12150922196,,,
701014120922002,12150922196,,,
701014120922002,12150922197,,,
701014120922002,12150922200,,,
701014120922002,12150922200,,,
701014120922002,12150922200,,,
701014120922002,12150922195,,,
701014120922002,12150922195,,,
701014120922002,12150922201,,,
701014120922002,12150922201,,,
701014120922002,12150922202,,,
701014120922002,12150922202,,,
701014120922002,12150922203,,,
701014120922002,12150922200,,,
701014120922002,12150922204,,,
701014120922002,12150922204,,,
701014120922002,12150922205,,,
701014120922002,12150922205,,,
701014120922002,12150922206,,,
701014120922002,12150922200,,,
701014120922002,12150922207,,,
701014120922002,12150922207,,,
701014120922002,12150922208,,,
701014120922002,12150922208,,,
701014120922002,12150922209,,,
701014120922002,12150922209,,,
701014120922002,12150922210,,,
701014120922002,12150922210,,,
701014120922002,12150922211,,,
701014120922002,12150922214,,,
701014120922002,12150922214,,,
701014120922002,12150922214,,,
701014120922002,12150922212,,,
701014120922002,12150922212,,,
701014120922002,12130922090,,,
701014120922002,12150922217,,,
701014120922002,12150922217,,,
701014120922002,12150922217,,,
701014120922002,12130922105,,,
701014120922002,12150922217,,,
701014120922002,12150922218,,,
701014120922002,12150922218,,,
701014120922002,12150922219,,,
701014120922002,12150922219,,,
701014120922002,12150922220,,,
701014120922002,12150922217,,,
